Char	EASCIIDecimal	UnicodeDecimal	Name	Keyboard	Comments
-	#45	#45	Hyphen	-	Lietuviškas brūkšnelis
–	#150	#8211	En dash	AltGr + -	Lietuviškas brūkšnys
—	#151	#8212	Em dash		
„	#132	#8222	Double low-9 quotation mark		Lietuviškos atidarančios kabutės
“	#147	#8220	Left double quotation mark		Lietuviškos uždarančios kabutės
‚	#130	#8218	Single low-9 quotation mark		"Lietuviškos" viengubos atidarančios kabutės
‘	#145	#8216	Left single quotation mark		"Lietuviškos" viengubos uždarančios kabutės
°	#176	#176	Degree sign		
º	#186	#186	Masculine ordinal indicator		
×	#215	#215	Multiplication sign		
•	#149	#8226	Bullet		
